NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE
NEURON MIGRATION	NEURON MIGRATION	Details ...	57	-0.6130711	-2.0006347	0	0.071476266	0.051	1166	"tags=49%, list=23%, signal=63%"
NEURON DEVELOPMENT	NEURON DEVELOPMENT	Details ...	25	-0.6185369	-1.8155504	0.002012072	0.6152378	0.454	755	"tags=48%, list=15%, signal=56%"
EXCITATORY SYNAPSE	EXCITATORY SYNAPSE	Details ...	25	-0.6524939	-1.8125484	0	0.42444348	0.462	568	"tags=36%, list=11%, signal=40%"
SYNAPTIC VESICLE MEMBRANE	SYNAPTIC VESICLE MEMBRANE	Details ...	45	-0.61461294	-1.8096173	0.003960396	0.33324075	0.476	770	"tags=44%, list=15%, signal=52%"
INTEGRAL COMPONENT OF SYNAPTIC VESICLE MEMBRANE	INTEGRAL COMPONENT OF SYNAPTIC VESICLE MEMBRANE	Details ...	29	-0.56910515	-1.8072826	0.005882353	0.27576637	0.488	654	"tags=41%, list=13%, signal=47%"
GOLGI TO PLASMA MEMBRANE PROTEIN TRANSPORT	GOLGI TO PLASMA MEMBRANE PROTEIN TRANSPORT	Details ...	15	-0.6313892	-1.8014208	0.003944773	0.24404395	0.504	842	"tags=53%, list=17%, signal=64%"
RAB PROTEIN SIGNAL TRANSDUCTION	RAB PROTEIN SIGNAL TRANSDUCTION	Details ...	38	-0.5683575	-1.7564093	0.007984032	0.36914104	0.643	1480	"tags=53%, list=29%, signal=74%"
INTEGRAL COMPONENT OF POSTSYNAPTIC DENSITY MEMBRANE	INTEGRAL COMPONENT OF POSTSYNAPTIC DENSITY MEMBRANE	Details ...	29	-0.62776583	-1.7545967	0.011952192	0.32881805	0.646	707	"tags=45%, list=14%, signal=52%"
POSITIVE REGULATION OF SYNAPSE ASSEMBLY	POSITIVE REGULATION OF SYNAPSE ASSEMBLY	Details ...	25	-0.6122419	-1.7328236	0.012396694	0.37442565	0.71	1099	"tags=52%, list=22%, signal=66%"
FATTY ACID METABOLIC PROCESS	FATTY ACID METABOLIC PROCESS	Details ...	56	-0.49275342	-1.731908	0.00617284	0.34005788	0.711	1189	"tags=45%, list=23%, signal=58%"
