NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE
BUTANOATE METABOLISM - MUS MUSCULUS (MOUSE)	BUTANOATE METABOLISM - MUS MUSCULUS (MOUSE)	Details ...	14	-0.669292	-1.8224355	0.002004008	0.06231613	0.058	830	"tags=50%, list=16%, signal=60%"
TERPENOID BACKBONE BIOSYNTHESIS - MUS MUSCULUS (MOUSE)	TERPENOID BACKBONE BIOSYNTHESIS - MUS MUSCULUS (MOUSE)	Details ...	12	-0.73159796	-1.670388	0.007952286	0.15031683	0.225	932	"tags=75%, list=18%, signal=92%"
PYRUVATE METABOLISM - MUS MUSCULUS (MOUSE)	PYRUVATE METABOLISM - MUS MUSCULUS (MOUSE)	Details ...	27	-0.5295737	-1.6120785	0.016632017	0.17895658	0.334	1239	"tags=44%, list=24%, signal=58%"
FATTY ACID BIOSYNTHESIS - MUS MUSCULUS (MOUSE)	FATTY ACID BIOSYNTHESIS - MUS MUSCULUS (MOUSE)	Details ...	8	-0.7653762	-1.5551231	0.020283977	0.22392614	0.478	759	"tags=75%, list=15%, signal=88%"
NITROGEN METABOLISM - MUS MUSCULUS (MOUSE)	NITROGEN METABOLISM - MUS MUSCULUS (MOUSE)	Details ...	4	-0.85028636	-1.533908	0.012526096	0.21533015	0.533	304	"tags=50%, list=6%, signal=53%"
SYNTHESIS AND DEGRADATION OF KETONE BODIES - MUS MUSCULUS (MOUSE)	SYNTHESIS AND DEGRADATION OF KETONE BODIES - MUS MUSCULUS (MOUSE)	Details ...	6	-0.7986191	-1.4512814	0.028513238	0.36059573	0.742	830	"tags=83%, list=16%, signal=99%"
GLYOXYLATE AND DICARBOXYLATE METABOLISM - MUS MUSCULUS (MOUSE)	GLYOXYLATE AND DICARBOXYLATE METABOLISM - MUS MUSCULUS (MOUSE)	Details ...	18	-0.47436604	-1.4110391	0.09330629	0.41175842	0.815	1096	"tags=33%, list=22%, signal=42%"
CITRATE CYCLE (TCA CYCLE) - MUS MUSCULUS (MOUSE)	CITRATE CYCLE (TCA CYCLE) - MUS MUSCULUS (MOUSE)	Details ...	21	-0.48905975	-1.3137515	0.18585859	0.6633973	0.943	1115	"tags=43%, list=22%, signal=55%"
TAURINE AND HYPOTAURINE METABOLISM - MUS MUSCULUS (MOUSE)	TAURINE AND HYPOTAURINE METABOLISM - MUS MUSCULUS (MOUSE)	Details ...	4	-0.7384299	-1.3087897	0.116	0.6066063	0.947	1054	"tags=75%, list=21%, signal=95%"
UBIQUINONE AND OTHER TERPENOID-QUINONE BIOSYNTHESIS - MUS MUSCULUS (MOUSE)	UBIQUINONE AND OTHER TERPENOID-QUINONE BIOSYNTHESIS - MUS MUSCULUS (MOUSE)	Details ...	2	-0.7924981	-1.3030427	0.10412574	0.56217444	0.953	569	"tags=50%, list=11%, signal=56%"
OXIDATIVE PHOSPHORYLATION - MUS MUSCULUS (MOUSE)	OXIDATIVE PHOSPHORYLATION - MUS MUSCULUS (MOUSE)	Details ...	82	-0.35412815	-1.3024628	0.14455445	0.512367	0.953	2235	"tags=52%, list=44%, signal=92%"
"VALINE, LEUCINE AND ISOLEUCINE DEGRADATION - MUS MUSCULUS (MOUSE)"	"VALINE, LEUCINE AND ISOLEUCINE DEGRADATION - MUS MUSCULUS (MOUSE)"	Details ...	27	-0.43166766	-1.2565029	0.2173913	0.5952444	0.98	1143	"tags=30%, list=23%, signal=38%"
GLYCEROPHOSPHOLIPID METABOLISM - MUS MUSCULUS (MOUSE)	GLYCEROPHOSPHOLIPID METABOLISM - MUS MUSCULUS (MOUSE)	Details ...	30	-0.39115012	-1.2411324	0.19477911	0.5914209	0.982	1681	"tags=53%, list=33%, signal=79%"
ARGININE BIOSYNTHESIS - MUS MUSCULUS (MOUSE)	ARGININE BIOSYNTHESIS - MUS MUSCULUS (MOUSE)	Details ...	8	-0.5311623	-1.2151461	0.24852072	0.61641777	0.988	548	"tags=38%, list=11%, signal=42%"
STEROID BIOSYNTHESIS - MUS MUSCULUS (MOUSE)	STEROID BIOSYNTHESIS - MUS MUSCULUS (MOUSE)	Details ...	9	-0.5264002	-1.1720395	0.2723658	0.6851997	0.994	1425	"tags=56%, list=28%, signal=77%"
FATTY ACID DEGRADATION - MUS MUSCULUS (MOUSE)	FATTY ACID DEGRADATION - MUS MUSCULUS (MOUSE)	Details ...	23	-0.37585562	-1.168741	0.254	0.6518605	0.995	759	"tags=22%, list=15%, signal=25%"
STARCH AND SUCROSE METABOLISM - MUS MUSCULUS (MOUSE)	STARCH AND SUCROSE METABOLISM - MUS MUSCULUS (MOUSE)	Details ...	12	-0.4578003	-1.1675556	0.29718876	0.6164592	0.995	781	"tags=33%, list=15%, signal=39%"
