NAME	GS<br> follow link to MSigDB	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE
RESPONSE TO INORGANIC SUBSTANCE	RESPONSE TO INORGANIC SUBSTANCE	20	-0.40772733	-1.6129581	0	1	0.889	2943	"tags=30%, list=13%, signal=35%"
CYCLIN-DEPENDENT PROTEIN SERINE/THREONINE KINASE ACTIVITY	CYCLIN-DEPENDENT PROTEIN SERINE/THREONINE KINASE ACTIVITY	28	-0.36534184	-1.6076815	0	1	0.941	2228	"tags=25%, list=10%, signal=28%"
REGULATION OF NEUROTRANSMITTER SECRETION	REGULATION OF NEUROTRANSMITTER SECRETION	23	-0.54888	-1.6033798	0	1	0.941	1770	"tags=43%, list=8%, signal=47%"
REGULATION OF HEART RATE	REGULATION OF HEART RATE	30	-0.529643	-1.5942963	0	1	0.941	1642	"tags=33%, list=8%, signal=36%"
PROTEIN SECRETION	PROTEIN SECRETION	36	-0.47778857	-1.5531186	0	1	1	3520	"tags=42%, list=16%, signal=50%"
"SYNAPTIC TRANSMISSION, CHOLINERGIC"	"SYNAPTIC TRANSMISSION, CHOLINERGIC"	22	-0.5340023	-1.5382999	0	1	1	3763	"tags=50%, list=17%, signal=60%"
NEGATIVE REGULATION OF CAMP-MEDIATED SIGNALING	NEGATIVE REGULATION OF CAMP-MEDIATED SIGNALING	16	-0.49432236	-1.5356294	0.073319755	1	1	1379	"tags=31%, list=6%, signal=33%"
SMOOTH ENDOPLASMIC RETICULUM	SMOOTH ENDOPLASMIC RETICULUM	29	-0.47874665	-1.5307281	0	1	1	2557	"tags=31%, list=12%, signal=35%"
CEREBELLAR PURKINJE CELL LAYER DEVELOPMENT	CEREBELLAR PURKINJE CELL LAYER DEVELOPMENT	15	-0.69723386	-1.5216396	0	1	1	2167	"tags=60%, list=10%, signal=67%"
GLIAL CELL DIFFERENTIATION	GLIAL CELL DIFFERENTIATION	19	-0.596337	-1.5175859	0.08888889	1	1	1442	"tags=37%, list=7%, signal=39%"
REGULATION OF G PROTEIN-COUPLED RECEPTOR SIGNALING PATHWAY	REGULATION OF G PROTEIN-COUPLED RECEPTOR SIGNALING PATHWAY	36	-0.42902607	-1.5165447	0	1	1	3186	"tags=31%, list=15%, signal=36%"
NEUROMUSCULAR PROCESS	NEUROMUSCULAR PROCESS	25	-0.5548943	-1.5075406	0	1	1	3797	"tags=60%, list=17%, signal=73%"
NEURAL CREST CELL MIGRATION	NEURAL CREST CELL MIGRATION	46	-0.5611323	-1.5055962	0.09486166	1	1	3608	"tags=52%, list=17%, signal=62%"
NITRIC-OXIDE SYNTHASE BINDING	NITRIC-OXIDE SYNTHASE BINDING	22	-0.5466197	-1.5035164	0	1	1	1480	"tags=41%, list=7%, signal=44%"
ADENYLATE CYCLASE-INHIBITING G PROTEIN-COUPLED RECEPTOR SIGNALING PATHWAY	ADENYLATE CYCLASE-INHIBITING G PROTEIN-COUPLED RECEPTOR SIGNALING PATHWAY	50	-0.51973444	-1.486278	0	1	1	3133	"tags=48%, list=14%, signal=56%"
REGULATION OF MICROTUBULE CYTOSKELETON ORGANIZATION	REGULATION OF MICROTUBULE CYTOSKELETON ORGANIZATION	35	-0.5528283	-1.4857101	0	1	1	2038	"tags=43%, list=9%, signal=47%"
REGULATION OF NEURON APOPTOTIC PROCESS	REGULATION OF NEURON APOPTOTIC PROCESS	29	-0.5626154	-1.4853723	0	1	1	2233	"tags=34%, list=10%, signal=38%"
VOLTAGE-GATED CALCIUM CHANNEL ACTIVITY	VOLTAGE-GATED CALCIUM CHANNEL ACTIVITY	38	-0.5943187	-1.4791108	0	1	1	2253	"tags=50%, list=10%, signal=56%"
PROTEIN KINASE A BINDING	PROTEIN KINASE A BINDING	26	-0.46139443	-1.4785267	0	1	1	2351	"tags=38%, list=11%, signal=43%"
PROTEIN PALMITOYLATION	PROTEIN PALMITOYLATION	24	-0.46222326	-1.476	0	1	1	5799	"tags=46%, list=27%, signal=62%"
TISSUE DEVELOPMENT	TISSUE DEVELOPMENT	39	-0.5684072	-1.47484	0.09467456	1	1	2950	"tags=46%, list=14%, signal=53%"
